更新时间: 2026-04-06 22:42:21（北京时间）

更新时间,#genre#
2026-04-06 22:42:21,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央卫综艺,#genre#
云南卫视,http://123.122.37.230:4021/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
风云剧场,http://223.10.214.111:6000/rtp/239.1.1.93:8093$山西电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://123.122.37.230:4021/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://113.120.99.168:7004/rtp/239.21.1.165:5002$山东电信
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
怀旧剧场,http://223.10.214.111:6000/rtp/239.1.1.95:8095$山西电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://123.122.37.230:4021/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://113.120.99.168:7004/rtp/239.21.1.159:5002$山东电信
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
第一剧场,http://223.10.214.111:6000/rtp/239.1.1.94:8094$山西电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://123.122.37.230:4021/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://113.120.99.168:7004/rtp/239.21.1.87:5002$山东电信
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
女性时尚,http://223.10.214.111:6000/rtp/239.1.1.89:8089$山西电信
世界地理,http://223.10.214.111:6000/rtp/239.1.1.99:8099$山西电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://123.122.37.230:4021/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://113.120.99.168:7004/rtp/239.21.1.164:5002$山东电信
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
央视台球,http://223.10.214.111:6000/rtp/239.1.1.100:8100$山西电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://123.122.37.230:4021/rtp/239.3.1.133:8016$北京市联通
黑龙江卫视,http://113.120.99.168:7004/rtp/239.21.1.28:5002$山东电信
黑龙江卫视,http://223.10.214.111:6000/rtp/239.1.1.37:8037$山西电信
高尔夫网球,http://183.220.107.138:4022/rtp/239.10.0.224:5140$四川移动
高尔夫网球,http://223.10.214.111:6000/rtp/239.1.1.102:8102$山西电信
内蒙古卫视,http://123.122.37.230:4021/rtp/239.3.1.43:8176$北京市联通
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://123.122.37.230:4021/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://113.120.99.168:7004/rtp/239.21.2.49:5002$山东电信
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
金鹰纪实,http://183.220.107.138:4022/rtp/239.10.0.193:5140$四川移动
金鹰纪实,http://123.122.37.230:4021/rtp/239.3.1.58:8156$北京市联通
金鹰纪实,http://113.120.99.168:7004/rtp/239.21.1.170:5002$山东电信
金鹰纪实,http://223.10.214.111:6000/rtp/239.1.1.63:8063$山西电信
宁夏卫视,http://123.122.37.230:4021/rtp/239.3.1.169:8212$北京市联通
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
乐游,http://171.8.84.159:8800/rtp/239.16.20.111:11110$河南电信
乐游,http://113.120.99.168:7004/rtp/239.21.2.104:5002$山东电信
乐游,http://223.10.214.111:6000/rtp/239.1.1.84:8084$山西电信
山西卫视,http://123.122.37.230:4021/rtp/239.3.1.42:8172$北京市联通
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
生活时尚,http://171.8.84.159:8800/rtp/239.16.20.114:11140$河南电信
生活时尚,http://183.220.107.138:4022/rtp/239.10.0.102:5140$四川移动
生活时尚,http://113.120.99.168:7004/rtp/239.21.2.103:5002$山东电信
生活时尚,http://223.10.214.111:6000/rtp/239.1.1.76:8076$山西电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
陕西卫视,http://123.122.37.230:4021/rtp/239.3.1.41:8140$北京市联通
陕西卫视,http://223.10.214.111:6000/rtp/239.1.1.50:8050$山西电信
中国交通,http://123.122.37.230:4021/rtp/239.3.1.188:8001$北京市联通
中国交通,http://113.120.99.168:7004/rtp/239.21.1.115:5002$山东电信
中国交通,http://123.122.37.230:4021/rtp/239.3.1.188:8001$北京市联通
中国交通,http://113.120.99.168:7004/rtp/239.21.1.115:5002$山东电信
中国天气,http://183.220.107.138:4022/rtp/239.10.0.177:5140$四川移动
中国天气,http://223.10.214.111:6000/rtp/239.1.1.107:8107$山西电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
青海卫视,http://123.122.37.230:4021/rtp/239.3.1.44:8184$北京市联通
青海卫视,http://113.120.99.168:7004/rtp/239.21.2.51:5002$山东电信
青海卫视,http://223.10.214.111:6000/rtp/239.1.1.53:8053$山西电信
新疆卫视,http://123.122.37.230:4021/rtp/239.3.1.167:8192$北京市联通
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
央视文化精品,http://223.10.214.111:6000/rtp/239.1.1.91:8091$山西电信
西藏卫视,http://123.122.37.230:4021/rtp/239.3.1.166:8188$北京市联通
西藏卫视,http://223.10.214.111:6000/rtp/239.1.1.57:8057$山西电信
三沙卫视,http://183.220.107.138:4022/rtp/239.11.0.84:5140$四川移动
三沙卫视,http://123.122.37.230:4021/rtp/239.3.1.155:4120$北京市联通
三沙卫视,http://223.10.214.111:6000/rtp/239.1.1.70:8070$山西电信
电视指南,http://223.10.214.111:6000/rtp/239.1.1.90:8090$山西电信
兵团卫视,http://183.220.107.138:4022/rtp/239.11.0.204:5140$四川移动
兵团卫视,http://123.122.37.230:4021/rtp/239.3.1.168:8196$北京市联通
兵团卫视,http://223.10.214.111:6000/rtp/239.1.1.58:8058$山西电信
中学生,http://183.220.107.138:4022/rtp/239.11.0.247:5140$四川移动
中学生,http://223.10.214.111:6000/rtp/239.1.1.104:8104$山西电信
延边卫视,http://183.220.107.138:4022/rtp/239.11.0.206:5140$四川移动
发现之旅,http://223.10.214.111:6000/rtp/239.1.1.103:8103$山西电信
书法频道,http://223.10.214.111:6000/rtp/239.1.1.88:8088$山西电信
安多卫视,http://183.220.107.138:4022/rtp/239.11.0.124:5140$四川移动
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信
国学频道,http://183.220.107.138:4022/rtp/239.10.0.186:5140$四川移动
国学频道,http://123.122.37.230:4021/rtp/239.3.1.77:4120$北京市联通
环球奇观,http://223.10.214.111:6000/rtp/239.1.1.98:8098$山西电信
农林卫视,http://223.10.214.111:6000/rtp/239.1.1.73:8073$山西电信
山东教育卫视,http://183.220.107.138:4022/rtp/239.11.0.140:5140$四川移动
山东教育卫视,http://123.122.37.230:4021/rtp/239.3.1.52:4120$北京市联通
山东教育卫视,http://223.10.214.111:6000/rtp/239.1.1.74:8074$山西电信
纪实人文,http://183.220.107.138:4022/rtp/239.10.0.192:5140$四川移动
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://183.220.107.138:4022/rtp/239.11.0.139:5140$四川移动
中国教育1台,http://123.122.37.230:4021/rtp/239.3.1.57:8152$北京市联通
中国教育1台,http://113.120.99.168:7004/rtp/239.21.2.7:5002$山东电信
中国教育1台,http://223.10.214.111:6000/rtp/239.1.1.65:8065$山西电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://123.122.37.230:4021/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://113.120.99.168:7004/rtp/239.21.1.163:5002$山东电信
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
中国教育2台,http://183.220.107.138:4022/rtp/239.11.0.246:5140$四川移动
中国教育2台,http://123.122.37.230:4021/rtp/239.3.1.54:4120$北京市联通
中国教育2台,http://223.10.214.111:6000/rtp/239.1.1.66:8066$山西电信
中国教育3台,http://123.122.37.230:4021/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://183.220.107.138:4022/rtp/239.11.0.248:5140$四川移动
中国教育4台,http://123.122.37.230:4021/rtp/239.3.1.56:4120$北京市联通
中国教育4台,http://223.10.214.111:6000/rtp/239.1.1.67:8067$山西电信
求索纪录,http://183.220.107.138:4022/rtp/239.10.0.221:5140$四川移动
求索纪录,http://113.120.99.168:7004/rtp/239.21.2.159:5002$山东电信
茶频道,http://171.8.84.159:8800/rtp/239.16.20.68:10680$河南电信
茶频道,http://123.122.37.230:4021/rtp/239.3.1.165:8001$北京市联通
茶频道,http://223.10.214.111:6000/rtp/239.1.1.77:8077$山西电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
甘肃卫视,http://123.122.37.230:4021/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://113.120.99.168:7004/rtp/239.21.2.22:5002$山东电信
甘肃卫视,http://223.10.214.111:6000/rtp/239.1.1.51:8051$山西电信
梨园频道,http://113.120.99.168:7004/rtp/239.21.2.101:5002$山东电信
文物宝库,http://113.120.99.168:7004/rtp/239.21.2.109:5002$山东电信

影视剧院,#genre#
CHC动作电影,http://183.220.107.138:4022/rtp/239.10.0.87:5140$四川移动
CHC动作电影,http://113.120.99.168:7004/rtp/239.21.2.128:5002$山东电信
CHC家庭影院,http://183.220.107.138:4022/rtp/239.10.0.86:5140$四川移动
CHC家庭影院,http://113.120.99.168:7004/rtp/239.21.2.126:5002$山东电信
CHC影迷电影,http://183.220.107.138:4022/rtp/239.10.0.88:5140$四川移动
淘电影,http://123.122.37.230:4021/rtp/239.3.1.250:8001$北京市联通
淘剧场,http://123.122.37.230:4021/rtp/239.3.1.95:8001$北京市联通
淘4K,http://123.122.37.230:4021/rtp/239.3.1.249:8001$北京市联通
淘娱乐,http://123.122.37.230:4021/rtp/239.3.1.100:8001$北京市联通
淘萌宠,http://123.122.37.230:4021/rtp/239.3.1.102:8001$北京市联通
峨眉电影4K,http://183.220.107.138:4022/rtp/239.10.0.187:5140$四川移动
星空卫视,http://183.220.107.138:4022/rtp/239.11.0.156:5140$四川移动
绚影4K,http://183.220.107.138:4022/rtp/239.10.0.188:5140$四川移动
都市剧场,http://171.8.84.159:8800/rtp/239.16.20.38:10380$河南电信
都市剧场,http://183.220.107.138:4022/rtp/239.10.0.106:5140$四川移动
都市剧场,http://113.120.99.168:7004/rtp/239.21.2.90:5002$山东电信
都市剧场,http://223.10.214.111:6000/rtp/239.1.1.81:8081$山西电信
欢笑剧场,http://171.8.84.159:8800/rtp/239.16.20.39:10390$河南电信
欢笑剧场,http://183.220.107.138:4022/rtp/239.10.0.129:5140$四川移动
华数4K,http://183.220.107.138:4022/rtp/239.11.0.120:5140$四川移动
华数4K,http://123.122.37.230:4021/rtp/239.3.1.236:2000$北京市联通
华数光影,http://183.220.107.138:4022/rtp/239.10.0.153:5140$四川移动
华数光影,http://123.122.37.230:4021/rtp/239.3.1.84:4120$北京市联通
华数光影,http://113.120.99.168:7004/rtp/239.21.1.131:5002$山东电信
华数星影,http://183.220.107.138:4022/rtp/239.10.0.156:5140$四川移动
华数星影,http://123.122.37.230:4021/rtp/239.3.1.94:4120$北京市联通
华数精选,http://123.122.37.230:4021/rtp/239.3.1.74:4120$北京市联通
华数喜剧影院,http://183.220.107.138:4022/rtp/239.10.0.132:5140$四川移动
华数喜剧影院,http://123.122.37.230:4021/rtp/239.3.1.91:4120$北京市联通
华数家庭影院,http://183.220.107.138:4022/rtp/239.10.0.127:5140$四川移动
华数家庭影院,http://123.122.37.230:4021/rtp/239.3.1.93:4120$北京市联通
华数经典电影,http://183.220.107.138:4022/rtp/239.10.0.122:5140$四川移动
华数经典电影,http://123.122.37.230:4021/rtp/239.3.1.195:9024$北京市联通
华数热播剧场,http://183.220.107.138:4022/rtp/239.10.0.121:5140$四川移动
华数热播剧场,http://123.122.37.230:4021/rtp/239.3.1.194:9020$北京市联通
华数碟战剧场,http://183.220.107.138:4022/rtp/239.10.0.123:5140$四川移动
华数军旅剧场,http://183.220.107.138:4022/rtp/239.10.0.125:5140$四川移动
华数军旅剧场,http://123.122.37.230:4021/rtp/239.3.1.68:4120$北京市联通
华数城市剧场,http://183.220.107.138:4022/rtp/239.10.0.124:5140$四川移动
华数城市剧场,http://123.122.37.230:4021/rtp/239.3.1.67:4120$北京市联通
华数武侠剧场,http://183.220.107.138:4022/rtp/239.10.0.133:5140$四川移动
华数武侠剧场,http://123.122.37.230:4021/rtp/239.3.1.90:4120$北京市联通
华数古装剧场,http://183.220.107.138:4022/rtp/239.10.0.126:5140$四川移动
华数古装剧场,http://123.122.37.230:4021/rtp/239.3.1.69:4120$北京市联通
华数魅力时尚,http://123.122.37.230:4021/rtp/239.3.1.196:9012$北京市联通
峨眉电影,http://183.220.107.138:4022/rtp/239.11.0.11:5140$四川移动
NewTV金牌综艺,http://183.220.107.138:4022/rtp/239.11.0.152:5140$四川移动
NEWTV家庭剧场,http://183.220.107.138:4022/rtp/239.11.0.131:5140$四川移动
NEWTV精品纪录,http://183.220.107.138:4022/rtp/239.11.0.132:5140$四川移动
NEWTV健康有约,http://183.220.107.138:4022/rtp/239.11.0.133:5140$四川移动
NEWTV精品体育,http://183.220.107.138:4022/rtp/239.11.0.134:5140$四川移动
NEWTV军事评论,http://183.220.107.138:4022/rtp/239.11.0.136:5140$四川移动
NEWTV农业致富,http://183.220.107.138:4022/rtp/239.11.0.137:5140$四川移动
NEWTV古装剧场,http://183.220.107.138:4022/rtp/239.11.0.141:5140$四川移动
NEWTV动作电影,http://183.220.107.138:4022/rtp/239.11.0.142:5140$四川移动
NEWTV军旅剧场,http://183.220.107.138:4022/rtp/239.11.0.143:5140$四川移动
NEWTV惊悚悬疑,http://183.220.107.138:4022/rtp/239.11.0.144:5140$四川移动
NewTV海外剧场,http://183.220.107.138:4022/rtp/239.11.0.145:5140$四川移动
NewTV搏击,http://183.220.107.138:4022/rtp/239.11.0.146:5140$四川移动
NewTV明星大片,http://183.220.107.138:4022/rtp/239.11.0.147:5140$四川移动
